2021-05-08 22:34:50,112 - INFO    - Loading：房主,女士,长沙,房子,买房,女子,物业费,收租,闲置
2021-05-08 22:34:50,115 - INFO    - Loading：废水,团体,排海,核电站,福岛,市民,污水,日本,储罐,入海
2021-05-08 22:34:50,115 - INFO    - Loading：宁乡,湘西自治州,城乡,住房,监委,审查,党组,工作,湘西,副局长
2021-05-08 22:34:50,115 - INFO    - Loading：肺癌,筛查,胸科,新冠,手术,医院,疫情,门诊,患者,市民
2021-05-08 22:34:50,115 - INFO    - Loading：缅甸,开庭,指控,资政,管理法,国务,律师,案件,辩方,素季
2021-05-08 22:34:50,116 - INFO    - Loading：投行,目标,反垄断,价格,影响,罚款,落地,消化,基本面,预计
2021-05-08 22:34:50,116 - INFO    - Loading：警方,投案,文章,台湾,嫌犯,大佬,新北市,枪击案,男子,媒称
2021-05-08 22:34:50,116 - INFO    - Loading：急救车,碾压,视频,网传,救护车,交通事故,事故,安徽,工作人员,蒙城县
2021-05-08 22:34:50,117 - INFO    - Loading：科技,预计,净利,发布公告,净利润,新闻,股东,消息,公司
2021-05-08 22:34:50,117 - INFO    - Loading：普京,谈判,总统,俄罗斯,秘书,发出请求,新闻,俄总统,援引
2021-05-08 22:34:50,117 - INFO    - Loading：受访者,东京,疫情,新冠,日本,国民,民调,防疫,观众
2021-05-08 22:34:50,117 - INFO    - Loading：滁州,牵引车,事故,交通事故,安徽,大客车,小轿车,护栏,车头
2021-05-08 22:34:50,118 - INFO    - Loading：违章,罚款,车主,佛山,事发,单数,罚单,网友,平息,违法
2021-05-08 22:34:50,118 - INFO    - Loading：褐矮星,速度,天文学家,小时,天体,加拿大,环球网,大学物理,外媒
2021-05-08 22:34:50,118 - INFO    - Loading：朋克,游戏,商店,补丁,角色扮演,发行商,科幻,联席,上市,大作
2021-05-08 22:34:50,118 - INFO    - Loading：常州市,持刀,嫌疑人,通报,警方,强制措施,伤人,本市,汉中,犯罪
2021-05-08 22:34:50,118 - INFO    - Loading：贷款,违规,经营,银行,企业,余额,调查,作假,新闻记者
2021-05-08 22:34:50,119 - INFO    - Loading：半决赛,挑战权,挑战赛,官子,本赛,冠军,古镇,赛事,打响,阶段
2021-05-08 22:34:50,119 - INFO    - Loading：碾压,救护车,伤者,蒙城县,交通事故,通报,官方,车辆,现场,美凯龙
2021-05-08 22:34:50,119 - INFO    - Loading：韩国,疫苗,疫情,防疫,总统,青瓦台,万剂,阿斯利康,新冠
2021-05-08 22:34:50,119 - INFO    - Loading：罚款,视网,合计,乐视,公司,北京,财务,新闻,科技,公告
2021-05-08 22:34:50,119 - INFO    - Loading：英国,疫情,豪宅,莱坊,伦敦,买家,新冠,经济,疫苗,称霸全球
2021-05-08 22:34:50,120 - INFO    - Loading：车主,实线,标线,违章,罚款,提示牌,交通,标志,设计,设置
2021-05-08 22:34:50,120 - INFO    - Loading：受访者,疫情,新冠,东京,人数,小池,东京都,毒株,日本首相,全国
2021-05-08 22:34:50,120 - INFO    - Loading：世界,中国,湖北,蓝厅,开放型,国务委员,市场潜力,外长,互利
2021-05-08 22:34:50,120 - INFO    - Loading：监察,德州市,调查,威海市,投案,财务科,人系,副科长,警务,网络安全
2021-05-08 22:34:50,120 - INFO    - Loading：赛纳,鸟蛋,飞机,巴西,坠机,设法,吃水果,引擎,营地,救援
